芯片,33920
半导体,14164
器件,12459
处理器,12233
嵌入式,12099
电压,11569
fpga,10918
电路,9131
硬件,8819
传感器,8415
IP,8270
封装,8266
控制,8150
智能手机,8147
embedded,8061
IC,8055
电流,7976
电源,7894
视频,7355
通信,7317
component,7303
FPGA,6562
低功耗,6424
LED,6155
英特尔,5951
电池,5942
功率,5713
功耗,5711
DSP,5364
控制器,5363
iPhone,5277
三星,4905
服务器,4712
CPU,4711
ARM,4546
存储,4516
联网,4506
开关,4430
模拟,4377
LTE,4374
USB,4364
快充,4054
充电,3917
时钟,3885
amp,3877
基站,3853
存储器,3842
集成电路,3777
高通,3733
射频,3723
以太网,3706
音频,3548
驱动,3525
负载,3479
TI,3402
总线,3397
内核,3386
光纤,3341
MCU,3252
操作系统,3239
华为,3225
SoC,3213
LCD,3188
面板,3186
单片机,3147
微控制器,3146
SCDMA,3135
移动通信,3047
转换器,3038
RF,3023
闪存,3000
电容,2999
天线,2951
WiMAX,2905
平板电脑,2748
内存,2725
放大器,2720
GSM,2716
电阻,2567
驱动器,2428
蓝牙,2397
增益,2356
Linux,2286
联发科,2272
德州仪器,2262
CDMA,2260
寄存器,2259
摄像头,2254
供电,2253
滤波器,2234
显示器,2212
纳米,2210
WCDMA,2164
MOSFET,2098
意法半导体,2064
数据中心,2058
自动化,2039
AMD,2032
芯片组,2029
ADC,2029
汽车电子,2025
台积,1975
IBM,1974
数字电视,1960
车载,1958
诺基亚,1932
连接器,1911
脉冲,1905
LG,1900
CMOS,1888
二极管,1882
PWM,1877
RFID,1869
光电,1840
晶圆,1839
OEM,1838
单芯片,1807
智能家居,1805
机顶盒,1792
电源管理,1754
GPU,1739
电机,1729
PCB,1728
频谱,1706
显示屏,1706
人工智能,1689
电动汽车,1661
云计算,1660
网关,1644
数据传输,1638
OLED,1637
VR,1631
光伏,1617
消费电子,1613
IPTV,1605
mcu,1593
索尼,1575
RAM,1573
系统设计,1567
主机,1566
嵌入式系统,1565
dsp,1549
载波,1543
收发器,1538
晶片,1537
NAND,1536
无线通信,1521
示波器,1501
接入网,1497
MEMS,1478
指令,1473
无线网络,1472
笔记本电脑,1457
IEEE,1456
基带,1452
晶体管,1446
DRAM,1441
路由器,1438
ST,1413
解码,1412
Flash,1395
电路板,1393
PCI,1390
爱立信,1386
电平,1380
电路设计,1375
电感,1347
ASIC,1341
移动互联,1340
ADI,1318
东芝,1311
CAN,1305
英飞凌,1304
Altera,1302
数据采集,1299
数据库,1289
新能源汽车,1279
恩智浦,1271
WLAN,1271
WiFi,1267
手机芯片,1257
接收器,1255
串口,1253
稳压器,1251
MIMO,1250
摩托罗拉,1243
相位,1238
骁龙,1233
阻抗,1229
智能化,1229
宽带接入,1226
测试系统,1225
触摸屏,1209
IDC,1209
元器件,1203
FTTH,1198
液晶电视,1195
微处理器,1157
滤波,1155
晶圆厂,1154
sub,1152
Mobile,1150
iPad,1134
安捷伦,1125
液晶,1113
适配器,1109
混合信号,1105
赛灵思,1096
耦合,1094
驱动程序,1087
布线,1087
损耗,1083
IoT,1077
苹果公司,1061
三星电子,1050
Semiconductor,1046
NFC,1044
电子设计,1042
微电子,1023
充电器,1015
调制解调器,1014
卫星,1013
路由,1012
模组,1003
网络设备,995
中兴通讯,993
功率放大器,986
医疗设备,983
光缆,982
虚拟现实,980
ti,980
高带宽,979
特斯拉,971
Xilinx,965
ADSL,965
展讯,963
NI,963
电容器,958
微波,951
变压器,946
交换机,945
VoIP,937
控制系统,936
GPRS,932
晶圆代工,916
EMI,914
HTC,908
MP3,901
机电,899
联想,898
DVB,896
HDMI,894
输出功率,892
触控,891
无线连接,890
EPON,888
安森美半导体,884
数据业务,880
家电,870
背光,866
无线技术,864
惠普,863
I2C,859
有线电视,848
电动车,844
富士通,844
传感,836
耳机,834
无人机,833
光源,832
逆变器,829
QoS,826
混合动力,820
无线充电,812
DAC,804
SRAM,803
OFDM,803
频带,802
GPON,800
国产手机,797
无人驾驶,795
MIPS,795
泰克,793
测试仪,792
缓存,789
占空比,784
指纹识别,779
NXP,779
显示技术,776
无线电,776
液晶面板,774
ESD,773
LabVIEW,770
芯片设计,761
定时器,759
电视机,747
CPLD,747
零部件,744
PON,744
EMC,741
无线宽带,740
OPPO,735
开关电源,734
高电平,733
能耗,732
分销商,730
扬声器,728
乐视,727
电网,723
成像,723
凌力尔特,717
宽带网,716
iOS,715
锂电池,712
模块化,710
超低功耗,709
AR,708
夏普,707
中芯,707
ZigBee,707
导通,706
摄像机,704
信号处理,703
戴尔,702
Maxim,702
电极,699
激光,698
中兴,694
x86,690
美光,688
管脚,688
编码器,686
开发板,684
hspace,684
PXI,684
太阳能电池,676
锂离子电池,675
短路,675
雷达,674
电能,674
CDMA2000,671
显卡,664
应用软件,664
谐波,663
电子元器件,663
液晶显示,663
AP,663
音视频,662
EDA,662
光网络,659
计数器,658
感知,658
DSL,656
降压,655
监控系统,655
电子设备,651
FIFO,650
新能源,646
分析仪,645
海力士,642
IGBT,641
平板电视,639
Facebook,639
格力,638
CMMB,636
高速数据,633
移动电话,633
魅族,621
媒体播放器,621
个人电脑,616
解码器,615
ROM,615
主控,612
仪表,611
摩尔定律,610
电容式,608
谐振,604
测试测量,604
中移动,604
栅极,603
多模,603
NVIDIA,601
瑞萨,597
比特,595
Agilent,591
博通,589
AMOLED,589
电感器,585
数字家庭,584
Server,583
QFN,583
LDO,583
飞利浦,582
SDRAM,582
车联网,580
可扩展性,579
Microchip,578
Marvell,578
并行,577
源代码,574
端子,570
无线通讯,570
无线局域网,566
EEPROM,565
松下,560
SIM,560
安防,558
功放,557
智能型,556
PCIe,556
Bluetooth,553
赛普拉斯,552
英特尔公司,552
家庭网络,547
调谐器,542
开发套件,541
IPv6,540
LAN,536
温度传感器,535
FDD,535
医疗器械,533
iPod,527
WiMax,526
大功率,522
软件开发,521
高通公司,520
华硕,520
广播电视,517
信息技术,517
NEC,517
腾讯,515
